Key,Source,Context,Changes,English
perkBerserkerDesc,progression,Perk,New,Specialize in two-handed melee weapons and beating the tar out of your opponents in a furious flurry of quick strikes.
perkBerserkerName,progression,Perk,New,Berserker
perkBerserkerRank1Desc,progression,Perk,New,Quick Hands
perkBerserkerRank1LongDesc,progression,Perk,New,"You have developed quick hands. Two-handed melee attack speeds are increased by 5%.\n\nThis perk applies to sledgehammers, spears, pickaxes, fireaxes, and shovels."
perkBerserkerRank2Desc,progression,Perk,New,Rapid Attacks
perkBerserkerRank2LongDesc,progression,Perk,New,Your training allows you to perform rapid attacks. Two-handed melee attack speeds are increased by 10%.
perkBerserkerRank3Desc,progression,Perk,New,Sudden Strike
perkBerserkerRank3LongDesc,progression,Perk,New,You have developed the sudden strike. Two-handed melee attack speeds are increased by 15%.
perkBerserkerRank4Desc,progression,Perk,New,Devastating Speed
perkBerserkerRank4LongDesc,progression,Perk,New,You now perform attacks at devastating speeds. Two-handed melee attack speeds are increased by 20%.
perkBerserkerRank5Desc,progression,Perk,New,Berserker
perkBerserkerRank5LongDesc,progression,Perk,New,You have mastered the berserker. Two-handed melee attack speeds are increased by 25%.
resourceForgedTitanium,items,Item,KgNone,Forged Titanium
resourceForgedTitaniumDesc,items,Item,KgNone,Can be crafted at a workbench and used to make unique modifiers.
resourceCobaltFragment,items,Item,KgNone,Cobalt Fragment
resourceCobaltFragmentDesc,items,Item,KgNone,Found occasionally while mining resource nodes.
resourceCobaltIngot,items,Item,KgNone,Cobalt Ingot
resourceCobaltIngotDesc,items,Item,KgNone,Can be crafted at a workbench and is necessary to craft Forged Titanium.
modGunSteelHammer,item_modifiers,mod,New,Steel Hammer Mod
modGunSteelHammerDesc,item_modifiers,mod,New,Increases damage of any firearm by 30%.\nInstall into any firearm.
modGunSteelHammerSchematic,item_modifiers,mod,New,Steel Hammer Mod Schematic
modGunTitaniumHammer,item_modifiers,mod,New,Titanium Hammer Mod
modGunTitaniumHammerDesc,item_modifiers,mod,New,Increases damage of any firearm by 60%.\nInstall into any firearm.
modGunTitaniumHammerSchematic,item_modifiers,mod,New,Titanium Hammer Mod Schematic
modGunBowHighTensionString,item_modifiers,mod,New,High Tension String Mod
modGunBowHighTensionStringDesc,item_modifiers,mod,New,Increases damage of any bow or crossbow by 50%.\nInstall into any bow or crossbow.
modGunBowHighTensionStringSchematic,item_modifiers,mod,New,High Tension String Mod Schematic
modArmorTheDistance,item_modifiers,mod,New,Going The Distance
modArmorTheDistanceDesc,item_modifiers,mod,New,[LEGENDARY] Going the Distance\nSignificantly improves movement of the user.\nInstall into any feet armor.
modArmorTheDistanceSchematic,item_modifiers,mod,New,Going The Distance Mod Schematic
modArmorMotionActuators,item_modifiers,mod,New,Motion Actuators
modArmorMotionActuatorsDesc,item_modifiers,mod,New,[LEGENDARY] Motion Actuators\nSignificantly improves melee attack speed.\nInstall into any hands armor.
modArmorMotionActuatorsSchematic,item_modifiers,mod,New,Motion Actuators Mod Schematic
modMeleeBunkerBusterMk2,item_modifiers,mod,New,Bunker Buster Mk2 Mod
modMeleeBunkerBusterMk2Desc,item_modifiers,mod,New,30% more damage against stone.
modMeleeBunkerBusterMk2Schematic,item_modifiers,mod,New,Bunker Buster Mk2 Mod Schematic
modMeleeIronBreakerMk2,item_modifiers,mod,New,Iron Breaker Mk2 Mod
modMeleeIronBreakerMk2Desc,item_modifiers,mod,New,30% more damage against iron.
modMeleeIronBreakerMk2Schematic,item_modifiers,mod,New,Iron Breaker Mk2 Mod Schematic
modMeleeWoodSplitterMk2,item_modifiers,mod,New,Wood Splitter Mk2 Mod
modMeleeWoodSplitterMk2Desc,item_modifiers,mod,New,30% more damage against wood.
